State,Игрушки,Питание и посуда,Транспорт,Детская комната,Гигиена и уход,Одежда,Медицина
-9,0,0,0,0,0,0,3.35
-8,0,0,0,0,0,0,0.35
-7,0,0,0,0,0,0,1.5
-6,0,0,0,0,0,0,1.535
-5,0,0,0,0,0,15,0.35
-4,0,0,0,0,0,0,0.35
-3,0,0,0,0,0,0,0.2
-2,0,0,0,0,0,3,4.5
-1,0,8,10,11,5,30,4.5
роды,0,0,0,0,0,0,90
1,2,0.7,1.2,0,3.9,0,1.2
2,0.9,2,0,0,3.5,0,0
3,1,2,0,0,3.5,0,0
4,1.5,2,0,0,3.5,0,10
5,0.3,2,0,0,3.3,1.5,0
6,0.8,8.5,0,0.6,3.4,5,1
7,0.4,4,0,0,3,2,0
8,0.8,4,0,0,2.8,2,0
9,1.1,4,0,0,2,0,10
10,1,3.2,0,0,2.2,1,0
11,1.3,3.2,0,0,2,2.2,0
12,2,2.7,0,0,1.8,0,0
